12:05:26 23:14:12,System Idle Process,5
12:05:26 23:14:17,System Idle Process,5
12:05:26 23:14:22,System Idle Process,5
12:05:26 23:14:27,System Idle Process,5
12:05:26 23:14:32,System Idle Process,5
12:05:26 23:14:37,System Idle Process,5
12:05:26 23:14:42,System Idle Process,5
12:05:26 23:14:47,System Idle Process,5
12:05:26 23:14:52,System Idle Process,5
12:05:26 23:14:57,System Idle Process,5
12:05:26 23:15:02,System Idle Process,5
12:05:26 23:15:07,System Idle Process,5
12:05:26 23:15:12,System Idle Process,5
12:05:26 23:15:17,System Idle Process,5
12:05:26 23:15:22,System Idle Process,5
12:05:26 23:15:27,System Idle Process,5
12:05:26 23:15:32,System Idle Process,5
12:05:26 23:15:37,System Idle Process,5
12:05:26 23:15:42,System Idle Process,5
12:05:26 23:15:47,System Idle Process,5
12:05:26 23:15:52,System Idle Process,5
12:05:26 23:15:57,System Idle Process,5
12:05:26 23:16:02,System Idle Process,5
12:05:26 23:16:07,System Idle Process,5
12:05:26 23:16:12,System Idle Process,5
12:05:26 23:16:17,System Idle Process,5
12:05:26 23:16:22,System Idle Process,5
12:05:26 23:16:27,System Idle Process,5
12:05:26 23:16:32,System Idle Process,5
